path,team,score
fan/maillots-fan (177).jpeg,Al-Hilal Saudi FC,0.40180087089538574
fan/maillots-fan (178).jpeg,RB Leipzig,0.3798946440219879
fan/maillots-fan (179).jpeg,Argentina,0.3503221273422241
fan/maillots-fan (18).jpeg,New York City FC,0.34838947653770447
fan/maillots-fan (180).jpeg,Japan,0.34581950306892395
fan/maillots-fan (181).jpeg,Manchester United,0.35391533374786377
fan/maillots-fan (182).jpeg,Atlanta United FC,0.36358970403671265
fan/maillots-fan (183).jpeg,Republic of the Congo,0.35213181376457214
fan/maillots-fan (184).jpeg,Atlanta United FC,0.3767102062702179
fan/maillots-fan (185).jpeg,Al-Ittihad Club (Jeddah),0.3731898069381714
fan/maillots-fan (186).jpeg,Atlanta United FC,0.3767102062702179
fan/maillots-fan (187).jpeg,São Paulo FC,0.38768264651298523
fan/maillots-fan (188).jpeg,Barcelona,0.33652204275131226
fan/maillots-fan (189).jpeg,Estoril,0.3489497900009155
fan/maillots-fan (19).jpeg,Tottenham Hotspur,0.35664841532707214
fan/maillots-fan (190).jpeg,Japan,0.33547109365463257
fan/maillots-fan (191).jpeg,Chelsea FC,0.3633882403373718
fan/maillots-fan (192).jpeg,Fluminense,0.3598340153694153
fan/maillots-fan (193).jpeg,Real Madrid,0.3617485761642456
fan/maillots-fan (194).jpeg,Los Angeles Galaxy,0.3441999852657318
fan/maillots-fan (195).jpeg,England,0.35681086778640747
fan/maillots-fan (196).jpeg,Japan,0.33642297983169556
fan/maillots-fan (197).jpeg,Celta de Vigo,0.36517012119293213
fan/maillots-fan (198).jpeg,Paris Saint-Germain,0.3583507239818573
fan/maillots-fan (199).jpeg,Celta de Vigo,0.36517012119293213
fan/maillots-fan (2).jpeg,Guyana,0.38881832361221313
fan/maillots-fan (20).jpeg,Philippines,0.3777128756046295
fan/maillots-fan (200).jpeg,China,0.36310893297195435
fan/maillots-fan (201).jpeg,Barcelona,0.36375245451927185
fan/maillots-fan (202).jpeg,Monaco,0.3669635057449341
fan/maillots-fan (203).jpeg,Real Madrid,0.3584590256214142
fan/maillots-fan (204).jpeg,Chelsea FC,0.35566604137420654
fan/maillots-fan (205).jpeg,Colombia,0.36086827516555786
fan/maillots-fan (206).jpeg,Real Madrid,0.33798760175704956
fan/maillots-fan (207).jpeg,Crystal Palace,0.35696688294410706
fan/maillots-fan (208).jpeg,Celtic FC,0.3625278174877167
fan/maillots-fan (209).jpeg,FC Bayern,0.37647557258605957
